Liga,Clube,Nome,Posição,Valor,URL
England,Chelsea FC,Enzo Fernández,Central Midfield,7500000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Estêvão,Right Winger,6000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Facundo Buonanotte,Attacking Midfield,2000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Filip Jørgensen,Goalkeeper,1800000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Gabriel Slonina,Goalkeeper,350000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Jamie Gittens,Left Winger,5000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Jorrel Hato,Left-Back,3500000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Josh Acheampong,Right-Back,800000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,João Pedro,Centre-Forward,5000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Levi Colwill,Centre-Back,5500000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Liam Delap,Centre-Forward,4000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Malo Gusto,Right-Back,3500000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Marc Cucurella,Left-Back,3500000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Marc Guiu,Centre-Forward,800000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Moisés Caicedo,Defensive Midfield,9000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Pedro Neto,Right Winger,5000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
England,Chelsea FC,Raheem Sterling,Right Winger,1000000000,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2025
